CNN,streetname,from_st,to_st,cardinal,addrange,limits,location,theOrder
33685000,PERALTA AVE,UNNAMED 186,,,,UNNAMED 186 intersection,,26145
21129000,PERALTA AVE,MONTCALM ST,,,,MONTCALM ST intersection,,26147
21127000,PERALTA AVE,RUTLEDGE ST,,,,RUTLEDGE ST intersection,,26149
21108000,PERALTA AVE,RIPLEY ST \ SAMOSET ST,,,,RIPLEY ST \ SAMOSET ST intersection,,26151
33365000,PERALTA AVE,ESMERALDA AVE \ FRANCONIA ST,,,,ESMERALDA AVE \ FRANCONIA ST intersection,,26153
21105000,PERALTA AVE,BRADFORD ST \ ESMERALDA AVE,,,,BRADFORD ST \ ESMERALDA AVE intersection,,26154
21099000,PERALTA AVE,MAYFLOWER ST,,,,MAYFLOWER ST intersection,,26156
21097000,PERALTA AVE,POWHATTAN AVE,,,,POWHATTAN AVE intersection,,26158
50909000,PERALTA AVE,END,,,,END intersection,,26160
21036000,PERALTA AVE,CORTLAND AVE,,,,CORTLAND AVE intersection,,26161
51923000,PERALTA AVE,END,,,,END intersection,,26163
33303000,PERALTA AVE,MOJAVE ST,,,,MOJAVE ST intersection,,26164
51924000,PERALTA AVE,END,,,,END intersection,,26166
51926000,PERALTA AVE,JARBOE AVE,,,,JARBOE AVE intersection,,26167
51864000,PERALTA AVE,END,,,,END intersection,,26169
21030000,PERALTA AVE,CRESCENT AVE \ TOMPKINS AVE,,,,CRESCENT AVE \ TOMPKINS AVE intersection,,26171
52024000,PERASTO AVE,DICKINSON ST,,,,DICKINSON ST intersection,,26172
52023000,PERASTO AVE,SAN BRUNO AVE,,,,SAN BRUNO AVE intersection,,26174
26120000,PEREGO TER,BURNETT AVE,,,,BURNETT AVE intersection,,26175
50628000,PEREGO TER,END,,,,END intersection,,26177
34069000,PERIMETER PATH,09TH TI ST \ AVENUE OF THE PALMS,,,,09TH TI ST \ AVENUE OF THE PALMS intersection,,26178
54074000,PERIMETER PATH,END,,,,END intersection,,26180
26635000,PERINE PL,STEINER ST,,,,STEINER ST intersection,,26181
26644000,PERINE PL,PIERCE ST,,,,PIERCE ST intersection,,26183
50001000,PERRY ST,END,,,,END intersection,,26184
20657000,PERRY ST,03RD ST,,,,03RD ST intersection,,26186
23904000,PERRY ST,04TH ST,,,,04TH ST intersection,,26188
30009000,PERRY ST,05TH ST,,,,05TH ST intersection,,26190
51383000,PERSHING DR,BOWLEY ST \ LINCOLN BLVD,,,,BOWLEY ST \ LINCOLN BLVD intersection,,26191
51384000,PERSHING DR,STILWELL RD,,,,STILWELL RD intersection,,26193
51370000,PERSHING DR,LINCOLN BLVD,,,,LINCOLN BLVD intersection,,26195
21748000,PERSIA AVE,OCEAN AVE,,,,OCEAN AVE intersection,,26196
21744000,PERSIA AVE,MISSION ST,,,,MISSION ST intersection,,26198
21725000,PERSIA AVE,LONDON ST,,,,LONDON ST intersection,,26200
21724000,PERSIA AVE,PARIS ST,,,,PARIS ST intersection,,26202
21719000,PERSIA AVE,LISBON ST,,,,LISBON ST intersection,,26204
21718000,PERSIA AVE,MADRID ST,,,,MADRID ST intersection,,26206
21715000,PERSIA AVE,EDINBURGH ST,,,,EDINBURGH ST intersection,,26208
21645000,PERSIA AVE,NAPLES ST,,,,NAPLES ST intersection,,26210
21644000,PERSIA AVE,VIENNA ST,,,,VIENNA ST intersection,,26212
21632000,PERSIA AVE,ATHENS ST,,,,ATHENS ST intersection,,26214
21628000,PERSIA AVE,MOSCOW ST,,,,MOSCOW ST intersection,,26216
21627000,PERSIA AVE,MUNICH ST,,,,MUNICH ST intersection,,26218
21626000,PERSIA AVE,PRAGUE ST,,,,PRAGUE ST intersection,,26220
21608000,PERSIA AVE,DUBLIN ST,,,,DUBLIN ST intersection,,26222
21605000,PERSIA AVE,MANSELL ST \ SUNNYDALE AVE,,,,MANSELL ST \ SUNNYDALE AVE intersection,,26224
21682000,PERU AVE,LISBON ST,,,,LISBON ST intersection,,26225
21681000,PERU AVE,MADRID ST,,,,MADRID ST intersection,,26227
21679000,PERU AVE,EDINBURGH ST,,,,EDINBURGH ST intersection,,26229
21660000,PERU AVE,NAPLES ST,,,,NAPLES ST intersection,,26231
21659000,PERU AVE,VIENNA ST,,,,VIENNA ST intersection,,26233
21652000,PERU AVE,ATHENS ST,,,,ATHENS ST intersection,,26235
21651000,PERU AVE,VALMAR TER,,,,VALMAR TER intersection,,26237
21611000,PERU AVE,AVALON AVE \ FELTON ST,,,,AVALON AVE \ FELTON ST intersection,,26239
21610000,PERU AVE,BURROWS ST,,,,BURROWS ST intersection,,26241
26494000,PETER YORKE WAY,GEARY BLVD \ GOUGH ST \ STARR KING WAY,,,,GEARY BLVD \ GOUGH ST \ STARR KING WAY intersection,,26242
25216000,PETER YORKE WAY,FRANKLIN ST \ POST ST,,,,FRANKLIN ST \ POST ST intersection,,26244
21335000,PETERS AVE,FAIR AVE,,,,FAIR AVE intersection,,26245
50908000,PETERS AVE,END,,,,END intersection,,26247
30761000,PETRARCH PL,BUSH ST,,,,BUSH ST intersection,,26248
24727000,PETRARCH PL,PINE ST,,,,PINE ST intersection,,26250
50120000,PFEIFFER ST,END,,,,END intersection,,26251
25389000,PFEIFFER ST,GRANT AVE,,,,GRANT AVE intersection,,26253
25402000,PFEIFFER ST,BELLAIR PL,,,,BELLAIR PL intersection,,26255
25406000,PFEIFFER ST,STOCKTON ST,,,,STOCKTON ST intersection,,26257
22192000,PHELAN AVE,GENEVA AVE \ OCEAN AVE,,,,GENEVA AVE \ OCEAN AVE intersection,,26258
22236000,PHELAN AVE,JUDSON AVE,,,,JUDSON AVE intersection,,26260
22237000,PHELAN AVE,JUDSON AVE,,,,JUDSON AVE intersection,,26262
22242000,PHELAN AVE,STAPLES AVE,,,,STAPLES AVE intersection,,26264
22243000,PHELAN AVE,FLOOD AVE,,,,FLOOD AVE intersection,,26266
20245000,PHELPS ST,03RD ST,,,,03RD ST intersection,,26267
20246000,PHELPS ST,DAVIDSON AVE,,,,DAVIDSON AVE intersection,,26269
20241000,PHELPS ST,EVANS AVE,,,,EVANS AVE intersection,,26271
20242000,PHELPS ST,FAIRFAX AVE,,,,FAIRFAX AVE intersection,,26273
20243000,PHELPS ST,GALVEZ AVE,,,,GALVEZ AVE intersection,,26275
20670000,PHELPS ST,HUDSON AVE,,,,HUDSON AVE intersection,,26277
20671000,PHELPS ST,INNES AVE,,,,INNES AVE intersection,,26279
20672000,PHELPS ST,JERROLD AVE,,,,JERROLD AVE intersection,,26281
20676000,PHELPS ST,KIRKWOOD AVE,,,,KIRKWOOD AVE intersection,,26283
20675000,PHELPS ST,LA SALLE AVE,,,,LA SALLE AVE intersection,,26285
20673000,PHELPS ST,MCKINNON AVE,,,,MCKINNON AVE intersection,,26287
20674000,PHELPS ST,NEWCOMB AVE,,,,NEWCOMB AVE intersection,,26289
20679000,PHELPS ST,OAKDALE AVE,,,,OAKDALE AVE intersection,,26291
20680000,PHELPS ST,PALOU AVE,,,,PALOU AVE intersection,,26293
33249000,PHELPS ST,QUESADA AVE,,,,QUESADA AVE intersection,,26295
20619000,PHELPS ST,VESTA ST \ WILLIAMS AVE,,,,VESTA ST \ WILLIAMS AVE intersection,,26296
20617000,PHELPS ST,BANCROFT AVE,,,,BANCROFT AVE intersection,,26298
20618000,PHELPS ST,CARROLL AVE,,,,CARROLL AVE intersection,,26300
20621000,PHELPS ST,DONNER AVE,,,,DONNER AVE intersection,,26302
20609000,PHELPS ST,EGBERT AVE,,,,EGBERT AVE intersection,,26304
33159000,PHELPS ST,BAY SHORE BLVD,,,,BAY SHORE BLVD intersection,,26306
50358000,PHOENIX TER,END,,,,END intersection,,26307
30722000,PHOENIX TER,PACIFIC AVE,,,,PACIFIC AVE intersection,,26309
22665000,PICO AVE,ASHTON AVE,,,,ASHTON AVE intersection,,26310
22667000,PICO AVE,URBANO DR,,,,URBANO DR intersection,,26312
26329000,PIEDMONT ST,MASONIC AVE,,,,MASONIC AVE intersection,,26313
26213000,PIEDMONT ST,ASHBURY TER \ DELMAR ST,,,,ASHBURY TER \ DELMAR ST intersection,,26315
26216000,PIEDMONT ST,ASHBURY ST,,,,ASHBURY ST intersection,,26317
50349000,PIERCE ST,END,,,,END intersection,,26318
25996000,PIERCE ST,WALLER ST,,,,WALLER ST intersection,,26320
25999000,PIERCE ST,HAIGHT ST,,,,HAIGHT ST intersection,,26322
26003000,PIERCE ST,PAGE ST,,,,PAGE ST intersection,,26324
26002000,PIERCE ST,OAK ST,,,,OAK ST intersection,,26326
26039000,PIERCE ST,FELL ST,,,,FELL ST intersection,,26328
26043000,PIERCE ST,HAYES ST,,,,HAYES ST intersection,,26330
26054000,PIERCE ST,FULTON ST,,,,FULTON ST intersection,,26331
26063000,PIERCE ST,MCALLISTER ST,,,,MCALLISTER ST intersection,,26333
26062000,PIERCE ST,GOLDEN GATE AVE,,,,GOLDEN GATE AVE intersection,,26335
26064000,PIERCE ST,ELM ST,,,,ELM ST intersection,,26337
26047000,PIERCE ST,TURK ST,,,,TURK ST intersection,,26339
26068000,PIERCE ST,EDDY ST,,,,EDDY ST intersection,,26341
26612000,PIERCE ST,ELLIS ST,,,,ELLIS ST intersection,,26343
26613000,PIERCE ST,OFARRELL ST,,,,OFARRELL ST intersection,,26345
26615000,PIERCE ST,POST ST,,,,POST ST intersection,,26346
26626000,PIERCE ST,SUTTER ST,,,,SUTTER ST intersection,,26348
26632000,PIERCE ST,BUSH ST,,,,BUSH ST intersection,,26350
26634000,PIERCE ST,PINE ST,,,,PINE ST intersection,,26352
26640000,PIERCE ST,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,26354
26644000,PIERCE ST,PERINE PL,,,,PERINE PL intersection,,26356
26638000,PIERCE ST,SACRAMENTO ST,,,,SACRAMENTO ST intersection,,26358
26645000,PIERCE ST,CLAY ST,,,,CLAY ST intersection,,26360
26673000,PIERCE ST,JACKSON ST,,,,JACKSON ST intersection,,26361
26675000,PIERCE ST,PACIFIC AVE,,,,PACIFIC AVE intersection,,26363
26674000,PIERCE ST,BROADWAY,,,,BROADWAY intersection,,26365
26677000,PIERCE ST,VALLEJO ST,,,,VALLEJO ST intersection,,26367
26680000,PIERCE ST,GREEN ST,,,,GREEN ST intersection,,26369
26681000,PIERCE ST,UNION ST,,,,UNION ST intersection,,26371
26684000,PIERCE ST,FILBERT ST,,,,FILBERT ST intersection,,26373
26963000,PIERCE ST,GREENWICH ST,,,,GREENWICH ST intersection,,26375
26965000,PIERCE ST,LOMBARD ST,,,,LOMBARD ST intersection,,26377
26964000,PIERCE ST,CHESTNUT ST,,,,CHESTNUT ST intersection,,26379
26775000,PIERCE ST,TOLEDO WAY,,,,TOLEDO WAY intersection,,26381
26970000,PIERCE ST,ALHAMBRA ST,,,,ALHAMBRA ST intersection,,26383
26982000,PIERCE ST,CAPRA WAY,,,,CAPRA WAY intersection,,26385
26981000,PIERCE ST,BEACH ST,,,,BEACH ST intersection,,26387
54108000,PIERPOINT LN,END,,,,END intersection,,26388
54103000,PIERPOINT LN,BRIDGEVIEW WAY,,,,BRIDGEVIEW WAY intersection,,26390
54109000,PIERPOINT LN,END,,,,END intersection,,26392
22124000,PILGRIM AVE,SAN JOSE AVE,,,,SAN JOSE AVE intersection,,26393
52053000,PILGRIM AVE,END,,,,END intersection,,26395
33376000,PILGRIM AVE,OLORAN AVE,,,,OLORAN AVE intersection,,26397
26364000,PINAR LN,EDDY ST \ SAINT JOSEPHS AVE,,,,EDDY ST \ SAINT JOSEPHS AVE intersection,,26398
33554000,PINAR LN,BAKER ST,,,,BAKER ST intersection,,26400
30729000,PINE ST,BEALE ST \ DAVIS ST \ MARKET ST,,,,BEALE ST \ DAVIS ST \ MARKET ST intersection,,26401
24673000,PINE ST,FRONT ST,,,,FRONT ST intersection,,26403
24671000,PINE ST,BATTERY ST,,,,BATTERY ST intersection,,26405
24686000,PINE ST,SANSOME ST,,,,SANSOME ST intersection,,26407
24682000,PINE ST,CENTURY PL,,,,CENTURY PL intersection,,26409
24687000,PINE ST,LEIDESDORFF ST,,,,LEIDESDORFF ST intersection,,26411
54143000,PINE ST,EXCHANGE PL,,,,EXCHANGE PL intersection,,26413
24727000,PINE ST,PETRARCH PL,,,,PETRARCH PL intersection,,26415
24726000,PINE ST,MONTGOMERY ST,,,,MONTGOMERY ST intersection,,26417
30771000,PINE ST,BELDEN ST,,,,BELDEN ST intersection,,26419
24740000,PINE ST,KEARNY ST,,,,KEARNY ST intersection,,26421
24739000,PINE ST,SAINT GEORGE ALY,,,,SAINT GEORGE ALY intersection,,26423
24743000,PINE ST,QUINCY ST,,,,QUINCY ST intersection,,26425
24747000,PINE ST,GRANT AVE,,,,GRANT AVE intersection,,26427
24979000,PINE ST,STOCKTON ST,,,,STOCKTON ST intersection,,26429
24981000,PINE ST,DASHIELL HAMMETT ST,,,,DASHIELL HAMMETT ST intersection,,26431
25003000,PINE ST,POWELL ST,,,,POWELL ST intersection,,26433
25004000,PINE ST,MASON ST,,,,MASON ST intersection,,26435
25071000,PINE ST,VINE TER,,,,VINE TER intersection,,26437
25089000,PINE ST,TAYLOR ST,,,,TAYLOR ST intersection,,26439
25090000,PINE ST,JONES ST,,,,JONES ST intersection,,26441
30057000,PINE ST,TOUCHARD ST,,,,TOUCHARD ST intersection,,26443
25230000,PINE ST,LEAVENWORTH ST,,,,LEAVENWORTH ST intersection,,26445
25234000,PINE ST,HYDE ST,,,,HYDE ST intersection,,26447
25206000,PINE ST,LARKIN ST,,,,LARKIN ST intersection,,26449
25222000,PINE ST,POLK ST,,,,POLK ST intersection,,26451
25226000,PINE ST,VAN NESS AVE,,,,VAN NESS AVE intersection,,26453
25227000,PINE ST,FRANKLIN ST,,,,FRANKLIN ST intersection,,26455
26507000,PINE ST,GOUGH ST,,,,GOUGH ST intersection,,26457
26528000,PINE ST,OCTAVIA ST,,,,OCTAVIA ST intersection,,26459
26527000,PINE ST,LAGUNA ST,,,,LAGUNA ST intersection,,26461
26532000,PINE ST,BUCHANAN ST,,,,BUCHANAN ST intersection,,26463
26604000,PINE ST,WEBSTER ST,,,,WEBSTER ST intersection,,26465
26606000,PINE ST,ORBEN PL,,,,ORBEN PL intersection,,26467
26609000,PINE ST,FILLMORE ST,,,,FILLMORE ST intersection,,26469
26631000,PINE ST,STEINER ST,,,,STEINER ST intersection,,26471
26634000,PINE ST,PIERCE ST,,,,PIERCE ST intersection,,26473
26642000,PINE ST,SCOTT ST,,,,SCOTT ST intersection,,26475
26643000,PINE ST,DIVISADERO ST,,,,DIVISADERO ST intersection,,26477
26817000,PINE ST,BRODERICK ST,,,,BRODERICK ST intersection,,26479
26826000,PINE ST,BAKER ST,,,,BAKER ST intersection,,26481
26842000,PINE ST,LYON ST,,,,LYON ST intersection,,26483
26844000,PINE ST,MASONIC AVE \ PRESIDIO AVE,,,,MASONIC AVE \ PRESIDIO AVE intersection,,26485
22754000,PINEHURST WAY,OCEAN AVE,,,,OCEAN AVE intersection,,26486
22753000,PINEHURST WAY,KENWOOD WAY,,,,KENWOOD WAY intersection,,26488
22759000,PINEHURST WAY,UPLAND DR,,,,UPLAND DR intersection,,26490
25850000,PINK ALY,PEARL ST,,,,PEARL ST intersection,,26491
50697000,PINK ALY,END,,,,END intersection,,26493
27734000,PINO ALY,JUDAH ST,,,,JUDAH ST intersection,,26494
27731000,PINO ALY,KIRKHAM ST,,,,KIRKHAM ST intersection,,26496
23096000,PINTO AVE,TAPIA DR,,,,TAPIA DR intersection,,26497
23104000,PINTO AVE,ARBALLO DR,,,,ARBALLO DR intersection,,26499
20981000,PIOCHE ST,CAMBRIDGE ST,,,,CAMBRIDGE ST intersection,,26500
20984000,PIOCHE ST,OXFORD ST,,,,OXFORD ST intersection,,26502
20989000,PIOCHE ST,HARVARD ST,,,,HARVARD ST intersection,,26504
20990000,PIOCHE ST,GAMBIER ST,,,,GAMBIER ST intersection,,26506
35055000,PIOCHE ST,END,,,,END intersection,,26508
35057000,PIOCHE ST,MADISON ST,,,,MADISON ST intersection,,26510
35056000,PIOCHE ST,MADISON ST,,,,MADISON ST intersection,,26512
54129000,PIPER LOOP,DEEMS RD,,,,DEEMS RD intersection,,26513
54130000,PIPER LOOP,DUDLEY RD,,,,DUDLEY RD intersection,,26515
51280000,PIPER LOOP,DEEMS RD,,,,DEEMS RD intersection,,26517
26736000,PIXLEY ST,BUCHANAN ST,,,,BUCHANAN ST intersection,,26518
26745000,PIXLEY ST,WEBSTER ST,,,,WEBSTER ST intersection,,26520
26746000,PIXLEY ST,FILLMORE ST,,,,FILLMORE ST intersection,,26522
26766000,PIXLEY ST,STEINER ST,,,,STEINER ST intersection,,26524
22637000,PIZARRO WAY,WESTWOOD DR,,,,WESTWOOD DR intersection,,26525
22647000,PIZARRO WAY,NORTHWOOD DR,,,,NORTHWOOD DR intersection,,26527
22677000,PIZARRO WAY,FAXON AVE,,,,FAXON AVE intersection,,26529
22888000,PLAZA ST,MAGELLAN AVE,,,,MAGELLAN AVE intersection,,26530
22867000,PLAZA ST,LAGUNA HONDA BLVD,,,,LAGUNA HONDA BLVD intersection,,26532
25092000,PLEASANT ST,TAYLOR ST,,,,TAYLOR ST intersection,,26533
25096000,PLEASANT ST,JONES ST,,,,JONES ST intersection,,26535
24359000,PLUM ST,MISSION ST,,,,MISSION ST intersection,,26536
33613000,PLUM ST,SOUTH VAN NESS AVE,,,,SOUTH VAN NESS AVE intersection,,26538
22456000,PLYMOUTH AVE,SAN JOSE AVE \ SICKLES AVE,,,,SAN JOSE AVE \ SICKLES AVE intersection,,26539
22457000,PLYMOUTH AVE,SAGAMORE ST,,,,SAGAMORE ST intersection,,26541
21598000,PLYMOUTH AVE,SADOWA ST,,,,SADOWA ST intersection,,26543
22471000,PLYMOUTH AVE,BROAD ST,,,,BROAD ST intersection,,26545
22472000,PLYMOUTH AVE,FARALLONES ST,,,,FARALLONES ST intersection,,26547
21596000,PLYMOUTH AVE,LOBOS ST,,,,LOBOS ST intersection,,26549
22475000,PLYMOUTH AVE,MINERVA ST,,,,MINERVA ST intersection,,26551
22574000,PLYMOUTH AVE,MONTANA ST,,,,MONTANA ST intersection,,26553
22204000,PLYMOUTH AVE,THRIFT ST,,,,THRIFT ST intersection,,26555
22573000,PLYMOUTH AVE,LAKEVIEW AVE,,,,LAKEVIEW AVE intersection,,26557
22576000,PLYMOUTH AVE,GRAFTON AVE,,,,GRAFTON AVE intersection,,26559
22583000,PLYMOUTH AVE,HOLLOWAY AVE,,,,HOLLOWAY AVE intersection,,26561
22585000,PLYMOUTH AVE,OCEAN AVE,,,,OCEAN AVE intersection,,26563
22587000,PLYMOUTH AVE,OCEAN AVE,,,,OCEAN AVE intersection,,26564
33600000,PLYMOUTH AVE,END,,,,END intersection,,26566
33601000,PLYMOUTH AVE,SOUTHWOOD DR,,,,SOUTHWOOD DR intersection,,26568
22620000,PLYMOUTH AVE,SAN RAMON WAY \ SOUTHWOOD DR,,,,SAN RAMON WAY \ SOUTHWOOD DR intersection,,26570
22623000,PLYMOUTH AVE,WILDWOOD WAY,,,,WILDWOOD WAY intersection,,26572
22626000,PLYMOUTH AVE,GREENWOOD AVE,,,,GREENWOOD AVE intersection,,26574
22640000,PLYMOUTH AVE,NORTHWOOD DR,,,,NORTHWOOD DR intersection,,26576
22639000,PLYMOUTH AVE,MONTECITO AVE,,,,MONTECITO AVE intersection,,26578
33599000,PLYMOUTH AVE,END,,,,END intersection,,26580
22650000,PLYMOUTH AVE,MIRAMAR AVE \ MONTEREY BLVD,,,,MIRAMAR AVE \ MONTEREY BLVD intersection,,26582
22648000,PLYMOUTH AVE,MONTEREY BLVD,,,,MONTEREY BLVD intersection,,26583
22649000,PLYMOUTH AVE,MANGELS AVE,,,,MANGELS AVE intersection,,26585
22804000,PLYMOUTH AVE,SAINT ELMO WAY \ YERBA BUENA AVE,,,,SAINT ELMO WAY \ YERBA BUENA AVE intersection,,26587
27917000,POINT LOBOS AVE,42ND AVE \ GEARY BLVD,,,,42ND AVE \ GEARY BLVD intersection,,26589
27918000,POINT LOBOS AVE,43RD AVE,,,,43RD AVE intersection,,26591
27997000,POINT LOBOS AVE,44TH AVE,,,,44TH AVE intersection,,26593
27998000,POINT LOBOS AVE,45TH AVE,,,,45TH AVE intersection,,26595
28002000,POINT LOBOS AVE,46TH AVE,,,,46TH AVE intersection,,26597
28004000,POINT LOBOS AVE,ALTA MAR WAY,,,,ALTA MAR WAY intersection,,26599
28003000,POINT LOBOS AVE,47TH AVE,,,,47TH AVE intersection,,26601
28013000,POINT LOBOS AVE,48TH AVE \ EL CAMINO DEL MAR,,,,48TH AVE \ EL CAMINO DEL MAR intersection,,26603
51560000,POINT LOBOS AVE,MERRIE WAY,,,,MERRIE WAY intersection,,26605
33559000,POINT LOBOS AVE,GREAT HWY,,,,GREAT HWY intersection,,26607
51000000,POLARIS WAY,END,,,,END intersection,,26608
33351000,POLARIS WAY,POPE ST,,,,POPE ST intersection,,26610
30746000,POLK ST,10TH ST \ FELL ST \ MARKET ST,,,,10TH ST \ FELL ST \ MARKET ST intersection,,26611
24436000,POLK ST,HAYES ST,,,,HAYES ST intersection,,26613
24438000,POLK ST,DR TOM WADDELL PL,,,,DR TOM WADDELL PL intersection,,26615
24437000,POLK ST,DR CARLTON B GOODLETT PL \ GROVE ST,,,,DR CARLTON B GOODLETT PL \ GROVE ST intersection,,26617
24462000,POLK ST,DR CARLTON B GOODLETT PL \ MCALLISTER ST,,,,DR CARLTON B GOODLETT PL \ MCALLISTER ST intersection,,26618
24464000,POLK ST,REDWOOD ST,,,,REDWOOD ST intersection,,26620
24463000,POLK ST,GOLDEN GATE AVE,,,,GOLDEN GATE AVE intersection,,26622
24465000,POLK ST,ELM ST,,,,ELM ST intersection,,26624
25175000,POLK ST,TURK ST,,,,TURK ST intersection,,26626
25176000,POLK ST,EDDY ST,,,,EDDY ST intersection,,26628
25177000,POLK ST,WILLOW ST,,,,WILLOW ST intersection,,26630
25178000,POLK ST,ELLIS ST,,,,ELLIS ST intersection,,26632
25180000,POLK ST,OLIVE ST,,,,OLIVE ST intersection,,26634
25179000,POLK ST,OFARRELL ST,,,,OFARRELL ST intersection,,26636
25181000,POLK ST,ALICE B TOKLAS PL \ MYRTLE ST,,,,ALICE B TOKLAS PL \ MYRTLE ST intersection,,26638
25182000,POLK ST,GEARY ST,,,,GEARY ST intersection,,26640
25199000,POLK ST,CEDAR ST,,,,CEDAR ST intersection,,26642
25200000,POLK ST,POST ST,,,,POST ST intersection,,26644
25201000,POLK ST,HEMLOCK ST,,,,HEMLOCK ST intersection,,26646
25208000,POLK ST,SUTTER ST,,,,SUTTER ST intersection,,26648
25209000,POLK ST,FERN ST,,,,FERN ST intersection,,26650
25210000,POLK ST,BUSH ST,,,,BUSH ST intersection,,26652
25211000,POLK ST,AUSTIN ST \ FRANK NORRIS ST,,,,AUSTIN ST \ FRANK NORRIS ST intersection,,26654
25222000,POLK ST,PINE ST,,,,PINE ST intersection,,26656
25221000,POLK ST,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,26658
25301000,POLK ST,SACRAMENTO ST,,,,SACRAMENTO ST intersection,,26660
25302000,POLK ST,CLAY ST,,,,CLAY ST intersection,,26662
25303000,POLK ST,WASHINGTON ST,,,,WASHINGTON ST intersection,,26664
25304000,POLK ST,JACKSON ST,,,,JACKSON ST intersection,,26666
25316000,POLK ST,PACIFIC AVE,,,,PACIFIC AVE intersection,,26668
25315000,POLK ST,BROADWAY,,,,BROADWAY intersection,,26670
25317000,POLK ST,VALLEJO ST,,,,VALLEJO ST intersection,,26672
25318000,POLK ST,BONITA ST,,,,BONITA ST intersection,,26674
25562000,POLK ST,GREEN ST,,,,GREEN ST intersection,,26676
25563000,POLK ST,UNION ST,,,,UNION ST intersection,,26678
25564000,POLK ST,FILBERT ST,,,,FILBERT ST intersection,,26680
26688000,POLK ST,GREENWICH ST,,,,GREENWICH ST intersection,,26682
26691000,POLK ST,LOMBARD ST,,,,LOMBARD ST intersection,,26684
26690000,POLK ST,CHESTNUT ST,,,,CHESTNUT ST intersection,,26686
26702000,POLK ST,FRANCISCO ST,,,,FRANCISCO ST intersection,,26688
26701000,POLK ST,BAY ST,,,,BAY ST intersection,,26690
26704000,POLK ST,NORTH POINT ST,,,,NORTH POINT ST intersection,,26692
26703000,POLK ST,BEACH ST,,,,BEACH ST intersection,,26694
25323000,POLLARD PL,ROMOLO ST \ VALLEJO ST,,,,ROMOLO ST \ VALLEJO ST intersection,,26695
50144000,POLLARD PL,END,,,,END intersection,,26697
50807000,POLLOCK ST,END,,,,END intersection,,26698
51942000,POLLOCK ST,CARROLL AVE,,,,CARROLL AVE intersection,,26700
51943000,POLLOCK ST,DONNER AVE,,,,DONNER AVE intersection,,26702
20528000,POMONA ST,BAY VIEW ST,,,,BAY VIEW ST intersection,,26703
20527000,POMONA ST,THORNTON AVE,,,,THORNTON AVE intersection,,26705
25800000,POND ST,16TH ST \ JOSE SARRIA CT,,,,16TH ST \ JOSE SARRIA CT intersection,,26706
25801000,POND ST,17TH ST,,,,17TH ST intersection,,26708
30066000,PONTIAC ST,JACKSON ST,,,,JACKSON ST intersection,,26709
50310000,PONTIAC ST,END,,,,END intersection,,26711
50282000,POPE RD,FORT MASON 16 \ FORT MASON 19 \ FRANKLIN ST \ MACARTHUR AVE,,,,FORT MASON 16 \ FORT MASON 19 \ FRANKLIN ST \ MACARTHUR AVE intersection,,26712
50280000,POPE RD,FUNSTON RD,,,,FUNSTON RD intersection,,26714
21483000,POPE ST,MISSION ST,,,,MISSION ST intersection,,26715
21481000,POPE ST,HOLLYWOOD CT,,,,HOLLYWOOD CT intersection,,26717
21472000,POPE ST,CROSS ST,,,,CROSS ST intersection,,26719
21471000,POPE ST,MORSE ST,,,,MORSE ST intersection,,26721
21453000,POPE ST,BRUNSWICK ST,,,,BRUNSWICK ST intersection,,26723
21418000,POPE ST,HANOVER ST,,,,HANOVER ST intersection,,26725
21452000,POPE ST,PRAGUE ST \ WINDING WAY,,,,PRAGUE ST \ WINDING WAY intersection,,26727
21447000,POPE ST,BALTIMORE WAY,,,,BALTIMORE WAY intersection,,26729
33351000,POPE ST,POLARIS WAY,,,,POLARIS WAY intersection,,26731
33844000,POPE ST,BELLEVUE AVE,,,,BELLEVUE AVE intersection,,26733
51359000,POPE ST,KOBBE AVE,,,,KOBBE AVE intersection,,26734
51175000,POPE ST,TODD ST,,,,TODD ST intersection,,26736
51174000,POPE ST,GREENOUGH AVE,,,,GREENOUGH AVE intersection,,26738
50703000,POPLAR ST,END,,,,END intersection,,26739
24107000,POPLAR ST,24TH ST,,,,24TH ST intersection,,26741
24098000,POPLAR ST,25TH ST,,,,25TH ST intersection,,26743
24099000,POPLAR ST,26TH ST,,,,26TH ST intersection,,26745
21986000,POPPY LN,CONRAD ST,,,,CONRAD ST intersection,,26746
21958000,POPPY LN,DIAMOND ST,,,,DIAMOND ST intersection,,26748
51072000,POPPY LN,END,,,,END intersection,,26750
51301000,PORTAL DR,LINCOLN BLVD \ SHERIDAN AVE,,,,LINCOLN BLVD \ SHERIDAN AVE intersection,,26751
51295000,PORTAL DR,MAIN DR \ NORTH DR,,,,MAIN DR \ NORTH DR intersection,,26753
22921000,PORTAL PATH,CLAREMONT BLVD \ PORTOLA DR,,,,CLAREMONT BLVD \ PORTOLA DR intersection,,26754
32999000,PORTAL PATH,SANTA MONICA WAY,,,,SANTA MONICA WAY intersection,,26756
21203000,PORTER ST,CRESCENT AVE,,,,CRESCENT AVE intersection,,26757
21198000,PORTER ST,BENTON AVE,,,,BENTON AVE intersection,,26759
51877000,PORTER ST,END,,,,END intersection,,26761
50940000,PORTER ST,END,,,,END intersection,,26763
